element_id,element_type,element_type_cn,x,y,object_id,object_name,psr_type,layer,voltage_level,css_class,stroke_color,is_junction,related_text_count
TMP00044696,ACLineSegment,交流线段,366.3241,508.0053,TMP00044696,TMP00131372#环网箱103－LINE215_线假社员教争101,0201,ACLineSegment,10kV,,,False,0
TMP00044695,ACLineSegment,交流线段,375.2497,522.8946,TMP00044695,00000电站102-假社员教SUB020_开关站101,0201,ACLineSegment,10kV,,,False,1
TMP00044694,ACLineSegment,交流线段,375.2497,528.8642,TMP00044694,TMP00132957(1)-假社员教SUB020_开关站101,0201,ACLineSegment,10kV,,,False,1
TMP00044693,ACLineSegment,交流线段,375.2497,534.8337,TMP00044693,TMP00131656假社员教SUB020_开关站101,0201,ACLineSegment,10kV,,,False,1
TMP00044692,ACLineSegment,交流线段,368.2364,497.7842,TMP00044692,00000饭开关站104-著长SUB020_开关站101,0201,ACLineSegment,10kV,,,False,1
TMP00044691,ACLineSegment,交流线段,345.5487,498.1317,TMP00044691,00000败支1#-LINE215_线如切败支2#,dxd,ACLineSegment,10kV,,,False,0
TMP00044690,ACLineSegment,交流线段,345.5487,493.6024,TMP00044690,00000败支3#-LINE215_线如切败支4#,dxd,ACLineSegment,10kV,,,False,0
TMP00044689,ACLineSegment,交流线段,345.5487,495.027,TMP00044689,00000败支3#-LINE215_线如切败支3照1#数线,dxd,ACLineSegment,10kV,,,False,0
TMP00044688,ACLineSegment,交流线段,345.5487,492.842,TMP00044688,00000切败支5#,dxd,ACLineSegment,10kV,,,False,0
TMP00044687,ACLineSegment,交流线段,345.5487,489.2757,TMP00044687,00000切败支11#,dxd,ACLineSegment,10kV,,,False,0
TMP00044686,ACLineSegment,交流线段,354.183,495.027,TMP00044686,00000败支3照3#-LINE215_线如切败支3照5#,dxd,ACLineSegment,10kV,,,False,0
TMP00044685,ACLineSegment,交流线段,408.3061,508.3373,TMP00044685,00000争1#-LINE215_线LINE365_争2#,dxd,ACLineSegment,10kV,,,False,0
TMP00044684,ACLineSegment,交流线段,419.4317,508.3373,TMP00044684,00000争4#-LINE215_线LINE365_争5#,dxd,ACLineSegment,10kV,,,False,0
TMP00044683,ACLineSegment,交流线段,422.2218,508.3373,TMP00044683,00000争5#~LINE215_线LINE365_争5-1#,dxd,ACLineSegment,10kV,,,False,0
TMP00044682,ACLineSegment,交流线段,423.3143,508.3373,TMP00044682,00000争5-1#~LINE215_线LINE365_争6#,dxd,ACLineSegment,10kV,,,False,0
TMP00044681,ACLineSegment,交流线段,425.901,508.3373,TMP00044681,00000跑争7#,dxd,ACLineSegment,10kV,,,False,0
TMP00044680,ACLineSegment,交流线段,425.901,506.1165,TMP00044680,00000争6#-LINE215_线LINE365_争6白1#数线,dxd,ACLineSegment,10kV,,,False,0
TMP00044679,ACLineSegment,交流线段,441.0362,508.3373,TMP00044679,00000跑争9#,dxd,ACLineSegment,10kV,,,False,0
TMP00044743,ACLineSegment,交流线段,442.8193,508.3373,TMP00044743,00000争11#-LINE215_线LINE365_争12#,dxd,ACLineSegment,10kV,,,False,0
TMP00044678,ACLineSegment,交流线段,444.6133,508.3373,TMP00044678,00000争12#-LINE215_线LINE365_争13#,dxd,ACLineSegment,10kV,,,False,0
TMP00044677,ACLineSegment,交流线段,444.6133,504.8916,TMP00044677,00000争12#-LINE215_线海半分1#数线,dxd,ACLineSegment,10kV,,,False,0
TMP00044676,ACLineSegment,交流线段,504.3547,508.3373,TMP00044676,00000跑争14#,dxd,ACLineSegment,10kV,,,False,0
TMP00044675,ACLineSegment,交流线段,504.3547,508.3373,TMP00044675,00000争13#-LINE215_线LINE365_争13白1#数线,dxd,ACLineSegment,10kV,,,False,0
TMP00044674,ACLineSegment,交流线段,507.0377,508.3373,TMP00044674,00000争15#-LINE215_线LINE231_示分1#数线,dxd,ACLineSegment,10kV,,,False,0
TMP00044673,ACLineSegment,交流线段,508.8316,492.0731,TMP00044673,00000示分3#-LINE215_线LINE231_示分4#,dxd,ACLineSegment,10kV,,,False,0
TMP00044672,ACLineSegment,交流线段,508.8316,499.1935,TMP00044672,00000示分3#-LINE215_线LINE231_示分3照1#数线,dxd,ACLineSegment,10kV,,,False,0
TMP00044671,ACLineSegment,交流线段,514.6864,556.7045,TMP00044671,00000败支1#~LINE215_线况诉败支2#,dxd,ACLineSegment,10kV,,,False,0
TMP00044670,ACLineSegment,交流线段,512.4052,556.7045,TMP00044670,00000败支4#~LINE215_线况诉败支5#,dxd,ACLineSegment,10kV,,,False,0
TMP00044669,ACLineSegment,交流线段,511.2164,556.7045,TMP00044669,00000败支6#~LINE215_线况诉败支7#,dxd,ACLineSegment,10kV,,,False,0
TMP00044668,ACLineSegment,交流线段,509.1012,556.7045,TMP00044668,00000败支9#~LINE215_线况诉败支10#,dxd,ACLineSegment,10kV,,,False,0
TMP00044667,ACLineSegment,交流线段,508.1747,556.7045,TMP00044667,00000败支10#~LINE215_线况诉败支11#,dxd,ACLineSegment,10kV,,,False,0
TMP00044666,ACLineSegment,交流线段,507.2483,556.7045,TMP00044666,00000败支11#~LINE215_线况诉败支12#,dxd,ACLineSegment,10kV,,,False,0
TMP00044665,ACLineSegment,交流线段,506.3219,556.7045,TMP00044665,00000败支12#~LINE215_线况诉败支13#,dxd,ACLineSegment,10kV,,,False,0
TMP00044664,ACLineSegment,交流线段,505.3954,556.7045,TMP00044664,00000败支13#~LINE215_线况诉败支14#,dxd,ACLineSegment,10kV,,,False,0
TMP00044663,ACLineSegment,交流线段,504.469,556.7045,TMP00044663,00000败支14#~LINE215_线况诉败支15#,dxd,ACLineSegment,10kV,,,False,0
TMP00044662,ACLineSegment,交流线段,503.5425,556.7045,TMP00044662,00000败支15#~LINE215_线况诉败支16#,dxd,ACLineSegment,10kV,,,False,0
TMP00044661,ACLineSegment,交流线段,502.6161,556.7045,TMP00044661,00000败支16#~LINE215_线况诉败支17#,dxd,ACLineSegment,10kV,,,False,0
TMP00044660,ACLineSegment,交流线段,502.0217,556.7045,TMP00044660,00000败支17#~LINE215_线况诉败支18#,dxd,ACLineSegment,10kV,,,False,0
TMP00044659,ACLineSegment,交流线段,499.9065,556.7045,TMP00044659,00000败支20#~LINE215_线况诉败支21#,dxd,ACLineSegment,10kV,,,False,0
TMP00044658,ACLineSegment,交流线段,498.98,556.7045,TMP00044658,00000败支21#~LINE215_线况诉败支22#,dxd,ACLineSegment,10kV,,,False,0
TMP00044657,ACLineSegment,交流线段,498.3857,556.7045,TMP00044657,00000败支22#~LINE215_线况诉败支23#,dxd,ACLineSegment,10kV,,,False,0
TMP00044656,ACLineSegment,交流线段,496.5701,556.6925,TMP00044656,00000败支25#~LINE215_线况诉败支26#,dxd,ACLineSegment,10kV,,,False,0
TMP00044655,ACLineSegment,交流线段,496.0596,556.6925,TMP00044655,00000败支26#~LINE215_线况诉败支27#,dxd,ACLineSegment,10kV,,,False,0
TMP00044654,ACLineSegment,交流线段,489.6323,556.7045,TMP00044654,00000败支30#~LINE215_线况诉败支31#,dxd,ACLineSegment,10kV,,,False,0
TMP00044653,ACLineSegment,交流线段,493.8929,555.5984,TMP00044653,00000败支30#~LINE215_线况诉败支30白1#,dxd,ACLineSegment,10kV,,,False,0
TMP00044652,ACLineSegment,交流线段,483.5936,556.6969,TMP00044652,00000败支32#~LINE215_线况诉败支33#,dxd,ACLineSegment,10kV,,,False,0
TMP00044651,ACLineSegment,交流线段,482.4048,556.6969,TMP00044651,00000败支34#~LINE215_线况诉败支35#,dxd,ACLineSegment,10kV,,,False,0
TMP00044650,ACLineSegment,交流线段,482.9916,556.7064,TMP00044650,00000败支34#~LINE215_线况诉败支34白1#,dxd,ACLineSegment,10kV,,,False,0
TMP00044649,ACLineSegment,交流线段,469.4317,556.7064,TMP00044649,00000败支38#~LINE215_线况诉败支39#,dxd,ACLineSegment,10kV,,,False,0
TMP00044648,ACLineSegment,交流线段,468.4674,556.7064,TMP00044648,00000败支39#~LINE215_线况诉败支40#,dxd,ACLineSegment,10kV,,,False,0
TMP00044647,ACLineSegment,交流线段,463.8883,556.7064,TMP00044647,00000败支40#~LINE215_线况诉败支41#,dxd,ACLineSegment,10kV,,,False,0
TMP00044646,ACLineSegment,交流线段,462.9619,556.7064,TMP00044646,00000败支41#~LINE215_线况诉败支42#,dxd,ACLineSegment,10kV,,,False,0
TMP00044645,ACLineSegment,交流线段,461.3713,556.7064,TMP00044645,00000败支42#~LINE215_线况诉败支43#,dxd,ACLineSegment,10kV,,,False,0
TMP00044644,ACLineSegment,交流线段,454.4678,556.7064,TMP00044644,00000败支43#~LINE215_线况诉败支44#,dxd,ACLineSegment,10kV,,,False,0
TMP00044643,ACLineSegment,交流线段,453.5414,556.7064,TMP00044643,00000败支44#~LINE215_线况诉败支45#,dxd,ACLineSegment,10kV,,,False,0
TMP00044642,ACLineSegment,交流线段,452.2905,556.6969,TMP00044642,00000败支45#~LINE215_线况诉败支46#,dxd,ACLineSegment,10kV,,,False,0
TMP00044641,ACLineSegment,交流线段,451.3565,556.6969,TMP00044641,00000败支46#~LINE215_线况诉败支47#,dxd,ACLineSegment,10kV,,,False,0
TMP00044640,ACLineSegment,交流线段,448.9358,556.7064,TMP00044640,00000败支47#~LINE215_线况诉败支48#,dxd,ACLineSegment,10kV,,,False,0
TMP00044639,ACLineSegment,交流线段,448.0093,556.7064,TMP00044639,00000败支48#~LINE215_线况诉败支49#,dxd,ACLineSegment,10kV,,,False,0
TMP00044638,ACLineSegment,交流线段,445.5886,556.7064,TMP00044638,00000败支49#~LINE215_线况诉败支50#,dxd,ACLineSegment,10kV,,,False,0
TMP00044637,ACLineSegment,交流线段,445.0018,556.6969,TMP00044637,00000败支50#~LINE215_线况诉败支51#,dxd,ACLineSegment,10kV,,,False,0
TMP00044636,ACLineSegment,交流线段,445.5886,555.9879,TMP00044636,00000败支50#~LINE215_线况诉败支50照1#,dxd,ACLineSegment,10kV,,,False,0
TMP00044635,ACLineSegment,交流线段,443.481,556.6969,TMP00044635,00000败支52#~LINE215_线况诉败支53#,dxd,ACLineSegment,10kV,,,False,0
TMP00044634,ACLineSegment,交流线段,435.5253,556.5534,TMP00044634,00000败支53#~LINE215_线况诉败支54#,dxd,ACLineSegment,10kV,,,False,0
TMP00044633,ACLineSegment,交流线段,426.3459,556.5534,TMP00044633,00000败支54#~LINE215_线况诉败支55#,dxd,ACLineSegment,10kV,,,False,0
TMP00044632,ACLineSegment,交流线段,421.7668,556.7064,TMP00044632,00000败支55#~LINE215_线况诉败支56#,dxd,ACLineSegment,10kV,,,False,0
TMP00044631,ACLineSegment,交流线段,421.1148,556.6704,TMP00044631,00000败支56#~LINE215_线况诉败支57#,dxd,ACLineSegment,10kV,,,False,0
TMP00044630,ACLineSegment,交流线段,417.7443,556.692,TMP00044630,00000败支58#~LINE215_线况诉败支59#,dxd,ACLineSegment,10kV,,,False,0
TMP00044629,ACLineSegment,交流线段,410.7558,556.7064,TMP00044629,00000败支59#~LINE215_线况诉败支60#,dxd,ACLineSegment,10kV,,,False,0
TMP00044628,ACLineSegment,交流线段,417.7443,556.1667,TMP00044628,00000败支59#~LINE215_线况诉败支59照1#,dxd,ACLineSegment,10kV,,,False,0
TMP00044627,ACLineSegment,交流线段,409.8293,556.7064,TMP00044627,00000败支60#~LINE215_线况诉败支61#,dxd,ACLineSegment,10kV,,,False,0
TMP00044626,ACLineSegment,交流线段,409.0689,556.7064,TMP00044626,00000败支61#~LINE215_线况诉败支62#,dxd,ACLineSegment,10kV,,,False,0
TMP00044625,ACLineSegment,交流线段,403.8257,556.7064,TMP00044625,00000败支62#~LINE215_线况诉败支63#,dxd,ACLineSegment,10kV,,,False,0
TMP00044624,ACLineSegment,交流线段,399.7447,556.7064,TMP00044624,00000败支63#~LINE215_线况诉败支64#,dxd,ACLineSegment,10kV,,,False,0
TMP00044623,ACLineSegment,交流线段,398.9919,556.6969,TMP00044623,00000败支64#~LINE215_线况诉败支65#,dxd,ACLineSegment,10kV,,,False,0
TMP00044622,ACLineSegment,交流线段,389.3281,556.7064,TMP00044622,00000败支66#~LINE215_线况诉败支67#,dxd,ACLineSegment,10kV,,,False,0
TMP00044621,ACLineSegment,交流线段,388.4016,556.7064,TMP00044621,00000败支67#~LINE215_线况诉败支68#,dxd,ACLineSegment,10kV,,,False,0
TMP00044620,ACLineSegment,交流线段,387.4752,556.7064,TMP00044620,00000败支68#~LINE215_线况诉败支69#,dxd,ACLineSegment,10kV,,,False,0
TMP00044619,ACLineSegment,交流线段,386.8884,556.6969,TMP00044619,00000败支69#~LINE215_线况诉败支70#,dxd,ACLineSegment,10kV,,,False,0
TMP00044618,ACLineSegment,交流线段,384.2675,556.7064,TMP00044618,00000败支72#~LINE215_线况诉败支73#,dxd,ACLineSegment,10kV,,,False,0
TMP00044617,ACLineSegment,交流线段,384.2675,556.7064,TMP00044617,00000败支73#~LINE215_线况诉败支73白1#,dxd,ACLineSegment,10kV,,,False,0
TMP00044616,ACLineSegment,交流线段,381.7571,556.7064,TMP00044616,00000败支73#~LINE215_线况诉败支74#,dxd,ACLineSegment,10kV,,,False,0
TMP00044615,ACLineSegment,交流线段,390.2678,559.3045,TMP00044615,00000败支66白1#~LINE215_线况诉败支66白2#,dxd,ACLineSegment,10kV,,,False,0
TMP00044614,ACLineSegment,交流线段,417.9578,553.1714,TMP00044614,00000败支59照2#~LINE215_线况诉败支59照3#,dxd,ACLineSegment,10kV,,,False,0
TMP00044613,ACLineSegment,交流线段,417.9578,551.9827,TMP00044613,00000败支59照4#~LINE215_线况诉败支59照5#,dxd,ACLineSegment,10kV,,,False,0
TMP00044612,ACLineSegment,交流线段,493.8929,554.672,TMP00044612,00000败支30白1#~LINE215_线况诉败支30白2#,dxd,ACLineSegment,10kV,,,False,0
TMP00044611,ACLineSegment,交流线段,493.8929,554.022,TMP00044611,00000败支30白2#~LINE215_线况诉败支30白3#,dxd,ACLineSegment,10kV,,,False,0
TMP00044744,ACLineSegment,交流线段,444.6133,499.5661,TMP00044744,00000分2#-LINE215_线海半分3#,dxd,ACLineSegment,10kV,,,False,0
TMP00044610,ACLineSegment,交流线段,444.6133,493.0581,TMP00044610,00000分3#-LINE215_线海半分4#,dxd,ACLineSegment,10kV,,,False,0
TMP00044609,ACLineSegment,交流线段,444.6133,492.4637,TMP00044609,00000分4#-LINE215_线海半分5#,dxd,ACLineSegment,10kV,,,False,0
TMP00044608,ACLineSegment,交流线段,444.6133,489.2221,TMP00044608,00000支5#--LINE215_线海半支6#,dxd,ACLineSegment,10kV,,,False,0
TMP00044607,ACLineSegment,交流线段,444.6133,492.4637,TMP00044607,00000分5#-LINE215_线海半支1#数线,dxd,ACLineSegment,10kV,,,False,0
TMP00044759,ACLineSegment,交流线段,444.6133,487.0013,TMP00044759,00000半分7#,dxd,ACLineSegment,10kV,,,False,0
TMP00045288,ACLineSegment,交流线段,444.6133,472.8623,TMP00045288,00000半分9#,dxd,ACLineSegment,10kV,,,False,0
TMP00045287,ACLineSegment,交流线段,439.5225,486.407,TMP00045287,00000分8#-LINE215_线海半二支1#,dxd,ACLineSegment,10kV,,,False,0
TMP00045286,ACLineSegment,交流线段,444.6133,471.6735,TMP00045286,00000半分11#,dxd,ACLineSegment,10kV,,,False,0
TMP00045285,ACLineSegment,交流线段,444.6133,466.5698,TMP00045285,00000分10#-LINE215_线海半分14#,dxd,ACLineSegment,10kV,,,False,0
TMP00045284,ACLineSegment,交流线段,444.6133,465.9754,TMP00045284,00000半分15#,dxd,ACLineSegment,10kV,,,False,0
TMP00045283,ACLineSegment,交流线段,444.6133,461.4661,TMP00045283,00000分16#-LINE215_线海半分17#,dxd,ACLineSegment,10kV,,,False,0
TMP00045282,ACLineSegment,交流线段,444.6133,457.3851,TMP00045282,00000分17#-LINE215_线海半分18#,dxd,ACLineSegment,10kV,,,False,0
TMP00045281,ACLineSegment,交流线段,444.6133,455.4857,TMP00045281,00000分20#-LINE215_线海半分21#数线,dxd,ACLineSegment,10kV,,,False,0
TMP00045280,ACLineSegment,交流线段,434.0723,485.3008,TMP00045280,00000半二支3#,dxd,ACLineSegment,10kV,,,False,0
TMP00045279,ACLineSegment,交流线段,432.136,486.407,TMP00045279,00000二支2照1#-LINE215_线海半二支2#,dxd,ACLineSegment,10kV,,,False,0
TMP00044745,ACLineSegment,交流线段,434.0723,484.1121,TMP00044745,00000二支4#-LINE215_线海半二支5#,dxd,ACLineSegment,10kV,,,False,0
TMP00045278,ACLineSegment,交流线段,434.0723,483.1856,TMP00045278,00000二支5#-LINE215_线海半二支5照1#,dxd,ACLineSegment,10kV,,,False,0
TMP00045277,ACLineSegment,交流线段,434.0723,482.0795,TMP00045277,00000二支5照1#-LINE215_线海半二支5照2#,dxd,ACLineSegment,10kV,,,False,0
TMP00045276,ACLineSegment,交流线段,434.0723,480.8681,TMP00045276,00000二支5照2#-LINE215_线海半二支5照3#,dxd,ACLineSegment,10kV,,,False,0
TMP00045275,ACLineSegment,交流线段,434.0723,480.8681,TMP00045275,00000二支5照3#-LINE215_线海半二支5照4#,dxd,ACLineSegment,10kV,,,False,0
TMP00045274,ACLineSegment,交流线段,434.0723,475.0662,TMP00045274,00000二支5照3#-LINE215_线海半二支5照3照1#数线,dxd,ACLineSegment,10kV,,,False,0
TMP00045273,ACLineSegment,交流线段,437.0691,480.658,TMP00045273,00000二支5照5#-LINE215_线海半二支5照6#归达数线,dxd,ACLineSegment,10kV,,,False,0
TMP00045272,ACLineSegment,交流线段,433.4779,475.0662,TMP00045272,00000二支5照3照1#-LINE215_线海半二支5照3照2#,dxd,ACLineSegment,10kV,,,False,0
TMP00045271,ACLineSegment,交流线段,430.5455,486.407,TMP00045271,00000二支2照1#-LINE215_线海半二支2照2#,dxd,ACLineSegment,10kV,,,False,0
TMP00045270,ACLineSegment,交流线段,429.619,486.407,TMP00045270,00000二支2照2#-LINE215_线海半二支2照3#,dxd,ACLineSegment,10kV,,,False,0
