ID,Name,Type,X,Y,Width,Height,Voltage
TMP00045275,00000二支5照3#-LINE215_线海半二支5照4#,交流线段,434.07225534582386,480.8681285515865,0.5476603115733951,0.0,10kV
TMP00045274,00000二支5照3#-LINE215_线海半二支5照3照1#数线,交流线段,434.07225534582386,475.0661557873441,0.0,5.801972764242407,10kV
TMP00045273,00000二支5照5#-LINE215_线海半二支5照6#归达数线,交流线段,437.0690853225506,480.65803874366077,0.0,0.7437657506520168,10kV
TMP00045272,00000二支5照3照1#-LINE215_线海半二支5照3照2#,交流线段,433.477899402622,475.0661557873441,0.5943559432018901,0.0,10kV
TMP00045271,00000二支2照1#-LINE215_线海半二支2照2#,交流线段,430.5454785913967,486.4069519750892,1.5905699523454473,0.0,10kV
TMP00045270,00000二支2照2#-LINE215_线海半二支2照3#,交流线段,429.6190242888787,486.4069519750892,0.9264543025180387,0.0,10kV
TMP00045269,00000支1#-LINE215_线海半支2#,交流线段,445.7057504536986,492.46372399316556,1.424541039888652,0.0,10kV
TMP00045268,00000支2#-LINE215_线海半支3#,交流线段,447.13029149358726,492.46372399316556,0.9264137681155376,0.0,10kV
TMP00045267,00000半支4#,交流线段,452.771950696119,492.46372399316556,6.571437326051125,0.0,10kV
TMP00045266,00000支7#-LINE215_线海半支8#,交流线段,461.12649638617825,492.46372399316556,3.2508590769140255,0.0,10kV
TMP00045265,00000支7#-LINE215_线海半支7白1#数线,交流线段,461.12649638617825,492.46372399316556,0.0,0.6669125235968636,10kV
TMP00045264,00000支8#-LINE215_线海半支9#,交流线段,464.3773554630923,492.46372399316556,3.748945814284582,0.0,10kV
TMP00045263,00000支7白1#-LINE215_线海半支7白2#,交流线段,461.12649638617825,493.1306365167624,0.0,0.9411277562068676,10kV
TMP00045262,00000败支12#~LINE215_线如切败支13#,交流线段,345.5486874108929,488.76179808572914,0.9228467406995264,0.0,10kV
TMP00045261,00000分18#~LINE215_线海半分20#,交流线段,444.6132672387237,456.2461137961592,0.0,1.1389761745911073,10kV
TMP00045260,00000败支5#-LINE215_线如切败支6#,交流线段,345.5486874108929,492.247594559274,0.0,0.5943964776043345,10kV
TMP00045259,00000败支6#-LINE215_线如切败支7#,交流线段,345.5486874108929,491.6532386160721,0.0,0.5943559432018901,10kV
TMP00045258,00000败支7#-LINE215_线如切败支8#,交流线段,345.5486874108929,491.05884213846775,0.0,0.5943964776043345,10kV
TMP00045257,00000败支8#-LINE215_线如切败支9#,交流线段,345.5486874108929,490.4644861952659,0.0,0.5943559432018333,10kV
