text_id,x,y,content,font_size,color,object_id,related_element_id
TXT-TMP_1a2c4f72-3a89-4d57-aa27-b2519ad407be,322.1977,496.5018,开关00126,0.4088,"rgb(255,255,255)",TMP00132380,TMP_1a2c4f72-3a89-4d57-aa27-b2519ad407be
TXT-TMP_c9828ed2-2ae9-4da3-a678-4db30b7e7dd5,320.1538,496.5018,开关00125,0.4088,"rgb(255,255,255)",TMP00132378,TMP_c9828ed2-2ae9-4da3-a678-4db30b7e7dd5
TXT-TMP_d3550a56-3c87-4a54-8352-16acd8eae89f,318.6728,498.3055,配变2291,0.4088,"rgb(255,255,255)",TMP00132379,TMP_d3550a56-3c87-4a54-8352-16acd8eae89f
TXT-TMP_19b9c9a6-9833-4daf-bbf7-67e978b8bff7,328.7663,518.8502,开关00124,0.4088,"rgb(255,255,255)",TMP00132385,TMP_19b9c9a6-9833-4daf-bbf7-67e978b8bff7
TXT-TMP_7f0f090b-9817-4c43-a0a5-9ccf7752a82f,330.8102,518.8502,开关00123,0.4088,"rgb(255,255,255)",TMP00132386,TMP_7f0f090b-9817-4c43-a0a5-9ccf7752a82f
TXT-TMP_d0dae0ab-4f99-4464-bbd6-ef8f4dea80a8,332.854,518.8502,开关00122,0.4088,"rgb(255,255,255)",TMP00132388,TMP_d0dae0ab-4f99-4464-bbd6-ef8f4dea80a8
TXT-TMP_72ea014f-8d74-4d74-a635-d3d719e0e238,329.3291,520.6539,配变2290,0.4088,"rgb(255,255,255)",TMP00132387,TMP_72ea014f-8d74-4d74-a635-d3d719e0e238
TXT-TMP_06a351db-0783-47c5-b757-4b7e5eba7863,343.7578,463.7332,开关00193,0.4088,"rgb(255,255,255)",TMP00132414,TMP_06a351db-0783-47c5-b757-4b7e5eba7863
TXT-TMP_45327c74-d6b2-4ee2-b55a-3919ff60cac7,347.8456,463.7332,开关00192,0.4088,"rgb(255,255,255)",TMP00132417,TMP_45327c74-d6b2-4ee2-b55a-3919ff60cac7
TXT-TMP_b6bb9d9c-4759-43ff-a095-5a3de5a9d0b6,345.8017,463.7332,开关00191,0.4088,"rgb(255,255,255)",TMP00132415,TMP_b6bb9d9c-4759-43ff-a095-5a3de5a9d0b6
TXT-TMP_6fe07dbe-43c6-40d7-b4a8-f681d26cda27,345.6932,465.1339,配变2305,0.1745,"rgb(255,255,255)",TMP00132416,TMP_6fe07dbe-43c6-40d7-b4a8-f681d26cda27
TXT-TMP_cd2b7cdc-a9b6-464e-bf35-a3fb124107fa,345.0506,461.6997,如切1#SUB020_配电LINE370_线,0.0763,"rgb(255,255,255)",TMP00313059,TMP_6fe07dbe-43c6-40d7-b4a8-f681d26cda27
TXT-TMP_36eb2ceb-5b72-4670-b532-505eba8af875,353.3245,450.431,开关00190,0.4088,"rgb(255,255,255)",TMP00132421,TMP_36eb2ceb-5b72-4670-b532-505eba8af875
TXT-TMP_b8a7ffbe-3627-46e3-97e7-0c665309c8b3,349.2368,450.431,开关00189,0.4088,"rgb(255,255,255)",TMP00132418,TMP_b8a7ffbe-3627-46e3-97e7-0c665309c8b3
TXT-TMP_59e6a01f-082f-412f-9d58-34e62ee4482d,351.2807,450.431,开关00188,0.4088,"rgb(255,255,255)",TMP00132419,TMP_59e6a01f-082f-412f-9d58-34e62ee4482d
TXT-TMP_8b2a7759-a4dc-4ef8-93c6-959a1f2ac861,351.7113,451.8318,配变2304,0.1745,"rgb(255,255,255)",TMP00132420,TMP_8b2a7759-a4dc-4ef8-93c6-959a1f2ac861
TXT-TMP_fcb68593-811c-469c-9963-a4dca04c34f4,350.5296,448.3975,如切2#SUB020_配电LINE370_线,0.0763,"rgb(255,255,255)",TMP00313060,TMP_6fe07dbe-43c6-40d7-b4a8-f681d26cda27
TXT-TMP_1f6cfdd2-3d1e-48ec-9e24-944e5336cb47,485.0451,488.9643,开关00115,0.4088,"rgb(255,255,255)",TMP00132698,TMP_1f6cfdd2-3d1e-48ec-9e24-944e5336cb47
TXT-TMP_f18f1f15-7560-4879-a59f-573665feef40,487.089,488.9643,开关00114,0.4088,"rgb(255,255,255)",TMP00132699,TMP_f18f1f15-7560-4879-a59f-573665feef40
TXT-TMP_d6189086-30c7-436a-9d22-527f2d3df490,489.1329,488.9643,开关00113,0.4088,"rgb(255,255,255)",TMP00132701,TMP_d6189086-30c7-436a-9d22-527f2d3df490
TXT-TMP_8b81771f-d12f-4b58-95d8-7015a13c09c4,485.6852,488.5275,配变2287,0.3053,"rgb(255,255,255)",TMP00132700,TMP_8b81771f-d12f-4b58-95d8-7015a13c09c4
TXT-TMP_8ea12fc6-f792-4115-aa5f-572636213477,532.8603,503.8579,开关00205,0.4088,"rgb(255,255,255)",TMP00132794,TMP_8ea12fc6-f792-4115-aa5f-572636213477
TXT-TMP_b1ff4cd6-dc72-4448-b476-41ce74d4de9d,534.9042,503.8579,开关00204,0.4088,"rgb(255,255,255)",TMP00132795,TMP_b1ff4cd6-dc72-4448-b476-41ce74d4de9d
TXT-TMP_8dc1622a-b7ee-4f98-a646-caafe3f80181,536.948,503.8579,开关00203,0.4088,"rgb(255,255,255)",TMP00132797,TMP_8dc1622a-b7ee-4f98-a646-caafe3f80181
TXT-TMP_24da824f-0936-4a47-8c02-f26427a85a94,534.863,505.3156,配变2297,0.2314,"rgb(255,255,255)",TMP00132796,TMP_24da824f-0936-4a47-8c02-f26427a85a94
TXT-TMP_7e9788da-ae3e-4df6-9a9f-4e5de1e2a9a2,392.7938,568.6533,开关00144,0.4088,"rgb(255,255,255)",TMP00132926,TMP_7e9788da-ae3e-4df6-9a9f-4e5de1e2a9a2
TXT-TMP_dcdc635f-61aa-4eb8-b9da-d5b6d72e508e,394.8376,568.6533,开关00143,0.4088,"rgb(255,255,255)",TMP00132927,TMP_dcdc635f-61aa-4eb8-b9da-d5b6d72e508e
TXT-TMP_b193eb4b-1e60-4444-8a68-6eb5c3a0d51a,396.8815,568.6533,开关00142,0.4088,"rgb(255,255,255)",TMP00132929,TMP_b193eb4b-1e60-4444-8a68-6eb5c3a0d51a
TXT-TMP_2e8a0652-6b0b-4c91-b1c4-56c52a662cec,393.5357,567.3641,配变2265,0.2616,"rgb(255,255,255)",TMP00132928,TMP_2e8a0652-6b0b-4c91-b1c4-56c52a662cec
TXT-TMP_f7cddb3f-1938-4a69-8d72-efdccaacd436,394.0865,566.6198,8112542584母线,0.0763,"rgb(255,255,255)",TMP00313061,TMP_25db8967-5f75-4178-94b2-9b17b1b186b7
TXT-TMP_f2eb6d5a-c0c6-40dd-b319-10e373ae3273,428.8851,564.6666,开关00169,0.4088,"rgb(255,255,255)",TMP00132874,TMP_f2eb6d5a-c0c6-40dd-b319-10e373ae3273
TXT-TMP_5ae23487-9ac7-4fe1-b4aa-614dd607b47d,430.9289,564.6666,开关00168,0.4088,"rgb(255,255,255)",TMP00132875,TMP_5ae23487-9ac7-4fe1-b4aa-614dd607b47d
TXT-TMP_cc6e48d0-8cc1-4fa0-8ecd-a564768d753f,432.9728,564.6666,开关00167,0.4088,"rgb(255,255,255)",TMP00132877,TMP_cc6e48d0-8cc1-4fa0-8ecd-a564768d753f
TXT-TMP_17abe6a9-0329-424b-967c-c50db0d01225,429.3968,563.5454,配变2277,0.189,"rgb(255,255,255)",TMP00132876,TMP_17abe6a9-0329-424b-967c-c50db0d01225
TXT-TMP_a76351f5-c592-4d56-a694-8df38e07cafd,431.5771,566.1738,配变2278,0.0763,"rgb(255,255,255)",TMP00132879,TMP_a76351f5-c592-4d56-a694-8df38e07cafd
