ConnectionID,StartDevice,EndDevice,PointsCount
TMP00313861,TMP00044338,TMP00044338,2
TMP00313863,TMP00046008,TMP00046008,2
TMP00313865,TMP00044340,TMP00044340,2
TMP00313669,TMP00045933,TMP00045933,2
TMP00313672,TMP00046338,TMP00044255,2
TMP00313867,TMP00044344,TMP00044344,2
TMP00313869,TMP00044345,TMP00044345,2
TMP00313666,TMP00046010,TMP00046010,2
TMP00313871,TMP00044348,TMP00044348,2
TMP00313873,TMP00046347,TMP00046347,2
TMP00313875,TMP00046349,TMP00046349,2
TMP00313877,TMP00044355,TMP00044355,2
TMP00313879,TMP00044356,TMP00044356,2
TMP00313881,TMP00046347,TMP00046347,2
TMP00313649,TMP00046019,TMP00046019,2
TMP00313883,TMP00046355,TMP00046355,2
TMP00313885,TMP00046356,TMP00046356,2
TMP00313887,TMP00044362,TMP00044362,2
TMP00313889,TMP00046104,TMP00044363,2
TMP00313892,TMP00046020,TMP00046020,2
TMP00313646,TMP00046023,TMP00046023,2
TMP00313894,TMP00045957,TMP00045957,2
TMP00313896,TMP00044376,TMP00044376,2
TMP00313898,TMP00044377,TMP00044377,2
TMP00313900,TMP00043900,TMP00043900,2
TMP00313792,TMP00043901,TMP00043901,2
TMP00313788,TMP00046116,TMP00046116,2
TMP00313902,TMP00046131,TMP00046131,2
TMP00313781,TMP00043904,TMP00043904,2
TMP00313760,TMP00043905,TMP00043905,2
TMP00313731,TMP00045980,TMP00044302,2
TMP00313727,TMP00043907,TMP00043907,2
TMP00313724,TMP00043908,TMP00043908,2
TMP00313688,TMP00043909,TMP00043909,2
TMP00313681,TMP00043911,TMP00043911,2
TMP00313678,TMP00043912,TMP00043912,2
TMP00313675,TMP00043913,TMP00043913,2
TMP00313663,TMP00043914,TMP00043914,2
TMP00313660,TMP00043915,TMP00043915,2
TMP00313904,TMP00043904,TMP00043916,2
TMP00313654,TMP00043917,TMP00043917,2
TMP00313643,TMP00043918,TMP00043918,2
TMP00313640,TMP00043919,TMP00043919,2
TMP00313631,TMP00044376,TMP00044376,2
TMP00313906,TMP00045952,TMP00045952,2
TMP00313907,TMP00045953,TMP00045953,2
TMP00313908,TMP00045955,TMP00045955,2
TMP00313909,TMP00045955,TMP00045955,2
TMP00313910,TMP00046433,TMP00046433,2
TMP00313911,TMP00045958,TMP00045958,2
TMP00313912,TMP00045959,TMP00045959,2
TMP00313913,TMP00045960,TMP00046436,2
TMP00313914,TMP00046438,TMP00046438,2
TMP00313915,TMP00046439,TMP00046439,2
TMP00313916,TMP00045961,TMP00045961,2
TMP00313917,TMP00046443,TMP00046443,2
TMP00313918,TMP00045963,TMP00045963,2
TMP00313919,TMP00045964,TMP00045964,2
TMP00313920,TMP00045965,TMP00045965,2
TMP00313921,TMP00045968,TMP00045968,2
TMP00313922,TMP00045966,TMP00045966,2
TMP00313923,TMP00045968,TMP00045968,2
TMP00313924,TMP00045969,TMP00045969,2
TMP00313925,TMP00045969,TMP00045969,2
TMP00313926,TMP00045970,TMP00045970,2
TMP00313927,TMP00046454,TMP00046454,2
TMP00313928,TMP00045971,TMP00045971,2
TMP00313929,TMP00045973,TMP00045973,2
TMP00313930,TMP00046459,TMP00046459,2
TMP00313931,TMP00045974,TMP00045974,2
TMP00313932,TMP00045975,TMP00046461,2
TMP00313933,TMP00045976,TMP00045976,2
TMP00313934,TMP00046464,TMP00046464,2
TMP00313935,TMP00046465,TMP00046465,2
TMP00313936,TMP00046466,TMP00046466,2
TMP00313937,TMP00045977,TMP00045977,2
TMP00313938,TMP00045978,TMP00045978,2
TMP00313939,TMP00046469,TMP00046469,2
TMP00313940,TMP00045979,TMP00045979,2
TMP00313941,TMP00046471,TMP00046471,2
TMP00313942,TMP00046472,TMP00046472,2
TMP00313943,TMP00045980,TMP00045980,2
TMP00313944,TMP00046474,TMP00046474,2
TMP00313945,TMP00045982,TMP00045982,2
TMP00313946,TMP00045983,TMP00045983,2
TMP00313947,TMP00046478,TMP00046478,2
TMP00313948,TMP00045984,TMP00045984,2
TMP00313949,TMP00045986,TMP00045986,2
TMP00313950,TMP00045987,TMP00046307,2
TMP00313951,TMP00046310,TMP00046310,2
TMP00313952,TMP00046311,TMP00046311,2
TMP00313953,TMP00046312,TMP00046312,2
TMP00313954,TMP00045989,TMP00046313,2
TMP00313955,TMP00045990,TMP00045990,2
TMP00313956,TMP00045991,TMP00045991,2
TMP00313957,TMP00045991,TMP00045991,2
TMP00313958,TMP00045993,TMP00045993,2
